sample_id,input_type,input,library_id
SAMN17005661,srr,SRR13203372,COLI1554
SAMN17005663,srr,SRR13203370,COLI1568
SAMN17005664,srr,SRR13203369,COLI1569
SAMN17005666,srr,SRR13203367,COLI1582
SAMN17005667,srr,SRR13203366,COLI1599
SAMN17005668,srr,SRR13203365,COLI1603
SAMN17005669,srr,SRR13203363,COLI1604
SAMN17005670,srr,SRR13203362,COLI1606
SAMN17005671,srr,SRR13203361,COLI1610
SAMN17005673,srr,SRR13203359,COLI1632
SAMN17005674,srr,SRR13203358,COLI1795
SAMN17005675,srr,SRR13203357,COLI1808
SAMN17005676,srr,SRR13203356,COLI1816
SAMN17005677,srr,SRR13203355,COLI1835
SAMN17005679,srr,SRR13203352,COLI1848
SAMN17005680,srr,SRR13203351,COLI1850
SAMN17005682,srr,SRR13203349,COLI1855
SAMN17005683,srr,SRR13203348,COLI1859
SAMN17005684,srr,SRR13203347,COLI1866
SAMN17005685,srr,SRR13203346,COLI1872
SAMN17005686,srr,SRR13203345,COLI1873
SAMN17005687,srr,SRR13203344,COLI2023
SAMN17005688,srr,SRR13203343,COLI2027
SAMN17005689,srr,SRR13203341,COLI2032
SAMN17005690,srr,SRR13203340,COLI2033
SAMN28200689,srr,SRR19175028,NIBRGR0000605604
SAMN35842927,srr,SRR25008971,18808X1
SAMN35842928,srr,SRR25008970,18808X2
SAMN35842929,srr,SRR25008959,18808X3
SAMN35842930,srr,SRR25008948,18808X4
SAMN35842931,srr,SRR25008938,18808X5
SAMN35842932,srr,SRR25008937,18808X6
SAMN35842933,srr,SRR25008936,18808X7
SAMN35842934,srr,SRR25008935,18808X8
SAMN35842935,srr,SRR25008934,18808X9
SAMN35842936,srr,SRR25008933,18808X10
SAMN35842937,srr,SRR25008969,18808X11
SAMN35842938,srr,SRR25008968,18808X12
SAMN35842939,srr,SRR25008967,18808X13
SAMN36892106,srr,SRR25956418,18282X1_RAH_MDS_004_M
SAMN43039852,srr,SRR30172937,bColLiv2_Illumina_1
SAMN43039853,srr,SRR30172931,bColLiv3_Illumina_1
