sample_id,input_type,input,library_id
SAMN36175407,srr,SRR25098026,HY28
SAMN36175408,srr,SRR25098025,HY29
SAMN36175409,srr,SRR25098024,HY30
SAMN36175410,srr,SRR25098023,WZ1
SAMN36175414,srr,SRR25098019,MG2
SAMN36175415,srr,SRR25098018,MG3
SAMN36175417,srr,SRR25098015,GE2
SAMN36175422,srr,SRR25098010,CL2
SAMN36175430,srr,SRR25098001,ST01
SAMN36175433,srr,SRR25097998,DA1
SAMN36175689,srr,SRR25098609,HY20
SAMN36176104,srr,SRR25098988,HY14
SAMN41053238,srr,SRR28886718,ZJ05
SAMN41053267,srr,SRR28886719,ZJ07
SAMN41053465,srr,SRR28886723,ZJ08
SAMN41053476,srr,SRR28886720,ZJ09
SAMN41053482,srr,SRR28886721,ZJ10
SAMN41053484,srr,SRR28886722,ZJ12
SAMN41053486,srr,SRR28886724,ZJ13
SAMN41053579,srr,SRR28886725,ZJ14
SAMN41053598,srr,SRR28886726,ZJ15
SAMN41053599,srr,SRR28886727,ZJ16
SAMN43452793,srr,SRR30505141,lib1
SAMN43452794,srr,SRR30505140,lib2
SAMN43452795,srr,SRR30505139,lib3
SAMN43452796,srr,SRR30505138,lib4
SAMN43452797,srr,SRR30505137,lib5
SAMN43452798,srr,SRR30505185,lib1
SAMN43452799,srr,SRR30505184,lib2
SAMN43452800,srr,SRR30505183,lib3
SAMN43452801,srr,SRR30505182,lib4
SAMN43452802,srr,SRR30505181,lib5
